"channel_id","name","is_private","is_archived","member_count","topic","purpose","created","raw_payload"
"C01NPHKSU4V","random",false,false,94,"For everything else!","This channel is for... well, everything else. It’s a place for team jokes, spur-of-the-moment ideas, and funny GIFs. Go wild!","2021-02-20T04:10:41.000Z","{""id"":""C01NPHKSU4V"",""created"":1613794241,""creator"":""U01NYR15VE0"",""is_org_shared"":false,""is_im"":false,""context_team_id"":""T01NPHKSMA9"",""updated"":1746565296471,""name"":""random"",""name_normalized"":""random"",""is_channel"":true,""is_group"":false,""is_mpim"":false,""is_private"":false,""is_archived"":false,""is_general"":false,""is_shared"":false,""is_ext_shared"":false,""unlinked"":0,""is_pending_ext_shared"":false,""pending_shared"":[],""parent_conversation"":null,""purpose"":{""value"":""This channel is for... well, everything else. It’s a place for team jokes, spur-of-the-moment ideas, and funny GIFs. Go wild!"",""creator"":""U01NYR15VE0"",""last_set"":1613794241},""topic"":{""value"":""For everything else!"",""creator"":""U01NYR15VE0"",""last_set"":1619025288},""shared_team_ids"":[""T01NPHKSMA9""],""pending_connected_team_ids"":[],""is_member"":true,""num_members"":94,""properties"":{""canvas"":{""file_id"":""F05JNATTS9E"",""is_empty"":false,""quip_thread_id"":""ZKO9AA6DZzC"",""is_migrated"":true},""meeting_notes"":{""file_id"":""F05JNATTS9E""},""tabs"":[{""id"":""Ct08QFRXC71N"",""label"":""Canvas"",""type"":""canvas"",""data"":{""file_id"":""F05JNATTS9E"",""shared_ts"":""1745619573.843029""}},{""type"":""files"",""label"":"""",""id"":""files""},{""type"":""bookmarks"",""label"":"""",""id"":""bookmarks""},{""label"":""Canvas"",""type"":""channel_canvas"",""is_disabled"":true,""id"":""channel_canvas""}],""tabz"":[{""id"":""Ct08QFRXC71N"",""label"":""Canvas"",""type"":""canvas"",""data"":{""file_id"":""F05JNATTS9E"",""shared_ts"":""1745619573.843029""}},{""type"":""files""},{""type"":""bookmarks""},{""label"":""Canvas"",""type"":""channel_canvas"",""is_disabled"":true}],""use_case"":""random""},""previous_names"":[]}"
"C01P59JJG9X","prickle-time",false,false,95,"So you never miss a Prickle or PUP!","This *channel* is for working on a project. Hold meetings, share docs, and make decisions together with your team.","2021-02-20T04:27:42.000Z","{""id"":""C01P59JJG9X"",""created"":1613795262,""creator"":""U01NYR15VE0"",""is_org_shared"":false,""is_im"":false,""context_team_id"":""T01NPHKSMA9"",""updated"":1756871956531,""name"":""prickle-time"",""name_normalized"":""prickle-time"",""is_channel"":true,""is_group"":false,""is_mpim"":false,""is_private"":false,""is_archived"":false,""is_general"":false,""is_shared"":false,""is_ext_shared"":false,""unlinked"":0,""is_pending_ext_shared"":false,""pending_shared"":[],""parent_conversation"":null,""purpose"":{""value"":""This *channel* is for working on a project. Hold meetings, share docs, and make decisions together with your team."",""creator"":""U01NYR15VE0"",""last_set"":1613795262},""topic"":{""value"":""So you never miss a Prickle or PUP!"",""creator"":""U01NYR15VE0"",""last_set"":1619025341},""shared_team_ids"":[""T01NPHKSMA9""],""pending_connected_team_ids"":[],""is_member"":true,""num_members"":95,""properties"":{""canvas"":{""file_id"":""F05HNE18RU2"",""is_empty"":false,""quip_thread_id"":""XZN9AAtW3m0"",""is_migrated"":true},""meeting_notes"":{""file_id"":""F05HNE18RU2""},""tabs"":[{""id"":""Ct08N5NZAZQB"",""label"":""Canvas"",""type"":""canvas"",""data"":{""file_id"":""F05HNE18RU2"",""shared_ts"":""1744628248.506699""}},{""id"":""Ct07JDRXQELX"",""type"":""folder"",""label"":""""},{""type"":""files"",""label"":"""",""id"":""files""},{""type"":""bookmarks"",""label"":"""",""id"":""bookmarks""},{""label"":""Canvas"",""type"":""channel_canvas"",""is_disabled"":true,""id"":""channel_canvas""}],""tabz"":[{""id"":""Ct08N5NZAZQB"",""label"":""Canvas"",""type"":""canvas"",""data"":{""file_id"":""F05HNE18RU2"",""shared_ts"":""1744628248.506699""}},{""id"":""Ct07JDRXQELX"",""type"":""folder""},{""type"":""files""},{""type"":""bookmarks""},{""label"":""Canvas"",""type"":""channel_canvas"",""is_disabled"":true}],""use_case"":""project""},""previous_names"":[""prickletime"",""community-launch""]}"
"C01PGFFQGQ0","quill-and-cup-announcements",false,false,95,"The ""BIG"" stuff you have to know about Quill &amp; Cup.","This is the one channel that will always include everyone. It’s a great spot for announcements and team-wide conversations.","2021-02-20T04:10:41.000Z","{""id"":""C01PGFFQGQ0"",""created"":1613794241,""creator"":""U01NYR15VE0"",""is_org_shared"":false,""is_im"":false,""context_team_id"":""T01NPHKSMA9"",""updated"":1744613302456,""name"":""quill-and-cup-announcements"",""name_normalized"":""quill-and-cup-announcements"",""is_channel"":true,""is_group"":false,""is_mpim"":false,""is_private"":false,""is_archived"":false,""is_general"":true,""is_shared"":false,""is_ext_shared"":false,""unlinked"":0,""is_pending_ext_shared"":false,""pending_shared"":[],""parent_conversation"":null,""purpose"":{""value"":""This is the one channel that will always include everyone. It’s a great spot for announcements and team-wide conversations."",""creator"":""U01NYR15VE0"",""last_set"":1613794241},""topic"":{""value"":""The \""BIG\"" stuff you have to know about Quill &amp; Cup."",""creator"":""U01NYR15VE0"",""last_set"":1619025228},""shared_team_ids"":[""T01NPHKSMA9""],""pending_connected_team_ids"":[],""is_member"":true,""num_members"":95,""properties"":{""canvas"":{""file_id"":""F05PH4XCX5W"",""is_empty"":true,""quip_thread_id"":""FDT9AAZrb8N"",""is_migrated"":true},""meeting_notes"":{""file_id"":""F05PH4XCX5W""},""tabs"":[{""type"":""bookmarks"",""label"":"""",""id"":""bookmarks""},{""type"":""files"",""label"":"""",""id"":""files""},{""id"":""Ct07JDS1A4VD"",""type"":""folder"",""label"":""""},{""label"":""Canvas"",""type"":""channel_canvas"",""is_disabled"":true,""id"":""channel_canvas""}],""tabz"":[{""type"":""bookmarks""},{""type"":""files""},{""id"":""Ct07JDS1A4VD"",""type"":""folder""},{""label"":""Canvas"",""type"":""channel_canvas"",""is_disabled"":true}],""use_case"":""welcome""},""previous_names"":[""general""]}"
"C01QLAQKD5G","resources",false,false,95,"Found a book or wanna rewatch that webinar that's changed your perspective on writing or life in general? Share it with us!","Have a book, article, or podcast that would answer questions we have or encourage us? Post them here!","2021-03-09T02:31:18.000Z","{""id"":""C01QLAQKD5G"",""created"":1615257078,""creator"":""U01NYR15VE0"",""is_org_shared"":false,""is_im"":false,""context_team_id"":""T01NPHKSMA9"",""updated"":1745551732127,""name"":""resources"",""name_normalized"":""resources"",""is_channel"":true,""is_group"":false,""is_mpim"":false,""is_private"":false,""is_archived"":false,""is_general"":false,""is_shared"":false,""is_ext_shared"":false,""unlinked"":0,""is_pending_ext_shared"":false,""pending_shared"":[],""parent_conversation"":null,""purpose"":{""value"":""Have a book, article, or podcast that would answer questions we have or encourage us? Post them here!"",""creator"":""U01NYR15VE0"",""last_set"":1615257078},""topic"":{""value"":""Found a book or wanna rewatch that webinar that's changed your perspective on writing or life in general? Share it with us!"",""creator"":""U01NYR15VE0"",""last_set"":1624326407},""shared_team_ids"":[""T01NPHKSMA9""],""pending_connected_team_ids"":[],""is_member"":true,""num_members"":95,""properties"":{""canvas"":{""file_id"":""F05L2LFFS9G"",""is_empty"":false,""quip_thread_id"":""IFY9AA1GfAx"",""is_migrated"":true},""meeting_notes"":{""file_id"":""F05L2LFFS9G""},""tabs"":[{""id"":""Ct08PRANUGJF"",""label"":""Canvas"",""type"":""canvas"",""data"":{""file_id"":""F05L2LFFS9G"",""shared_ts"":""1745551730.031219""}},{""type"":""files"",""label"":"""",""id"":""files""},{""type"":""bookmarks"",""label"":"""",""id"":""bookmarks""},{""label"":""Canvas"",""type"":""channel_canvas"",""is_disabled"":true,""id"":""channel_canvas""}],""tabz"":[{""id"":""Ct08PRANUGJF"",""label"":""Canvas"",""type"":""canvas"",""data"":{""file_id"":""F05L2LFFS9G"",""shared_ts"":""1745551730.031219""}},{""type"":""files""},{""type"":""bookmarks""},{""label"":""Canvas"",""type"":""channel_canvas"",""is_disabled"":true}]},""previous_names"":[]}"
"C01R8R8QNER","encouragementandmotivation",false,false,93,"Drop your encouraging meme or motivational quote here!","aka let's f-ing go: what goals are you going to crush today? Do you want us to slide in your insta DMs and make sure you're making progress? Drop your goals below!","2021-03-16T01:18:05.000Z","{""id"":""C01R8R8QNER"",""created"":1615857485,""creator"":""U01NYR15VE0"",""is_org_shared"":false,""is_im"":false,""context_team_id"":""T01NPHKSMA9"",""updated"":1744587903471,""name"":""encouragementandmotivation"",""name_normalized"":""encouragementandmotivation"",""is_channel"":true,""is_group"":false,""is_mpim"":false,""is_private"":false,""is_archived"":false,""is_general"":false,""is_shared"":false,""is_ext_shared"":false,""unlinked"":0,""is_pending_ext_shared"":false,""pending_shared"":[],""parent_conversation"":null,""purpose"":{""value"":""aka let's f-ing go: what goals are you going to crush today? Do you want us to slide in your insta DMs and make sure you're making progress? Drop your goals below!"",""creator"":""U01NYR15VE0"",""last_set"":1615857485},""topic"":{""value"":""Drop your encouraging meme or motivational quote here!"",""creator"":""U01NYR15VE0"",""last_set"":1619025256},""shared_team_ids"":[""T01NPHKSMA9""],""pending_connected_team_ids"":[],""is_member"":true,""num_members"":93,""properties"":{""canvas"":{""file_id"":""F08BD3M6XQW"",""is_empty"":true,""quip_thread_id"":""CbE9AAzN20p"",""is_migrated"":true},""meeting_notes"":{""file_id"":""F08BD3M6XQW""},""tabs"":[{""type"":""files"",""label"":"""",""id"":""files""},{""type"":""bookmarks"",""label"":"""",""id"":""bookmarks""},{""label"":""Canvas"",""type"":""channel_canvas"",""is_disabled"":true,""id"":""channel_canvas""}],""tabz"":[{""type"":""files""},{""type"":""bookmarks""},{""label"":""Canvas"",""type"":""channel_canvas"",""is_disabled"":true}]},""previous_names"":[""lfg""]}"
"C01RC43GXJ7","thewritingprocess",false,false,93,"Writing process hacks! Share your secrets! What's good for one might be good for all :heart:","Drop revelations about your writing process! What works? What doesn't? Share your secret sauce!","2021-03-16T01:16:52.000Z","{""id"":""C01RC43GXJ7"",""created"":1615857412,""creator"":""U01NYR15VE0"",""is_org_shared"":false,""is_im"":false,""context_team_id"":""T01NPHKSMA9"",""updated"":1745562690528,""name"":""thewritingprocess"",""name_normalized"":""thewritingprocess"",""is_channel"":true,""is_group"":false,""is_mpim"":false,""is_private"":false,""is_archived"":false,""is_general"":false,""is_shared"":false,""is_ext_shared"":false,""unlinked"":0,""is_pending_ext_shared"":false,""pending_shared"":[],""parent_conversation"":null,""purpose"":{""value"":""Drop revelations about your writing process! What works? What doesn't? Share your secret sauce!"",""creator"":""U01NYR15VE0"",""last_set"":1615857413},""topic"":{""value"":""Writing process hacks! Share your secrets! What's good for one might be good for all :heart:"",""creator"":""U01NYR15VE0"",""last_set"":1619025306},""shared_team_ids"":[""T01NPHKSMA9""],""pending_connected_team_ids"":[],""is_member"":true,""num_members"":93,""properties"":{""canvas"":{""file_id"":""F0659BQQ5GR"",""is_empty"":true,""quip_thread_id"":""feM9AAP0ASA"",""is_migrated"":true},""meeting_notes"":{""file_id"":""F0659BQQ5GR""},""tabs"":[{""type"":""files"",""label"":"""",""id"":""files""},{""type"":""bookmarks"",""label"":"""",""id"":""bookmarks""},{""label"":""Canvas"",""type"":""channel_canvas"",""is_disabled"":true,""id"":""channel_canvas""}],""tabz"":[{""type"":""files""},{""type"":""bookmarks""},{""label"":""Canvas"",""type"":""channel_canvas"",""is_disabled"":true}]},""previous_names"":[""follow-the-dopamine""]}"
"C020EBX5771","daily-accountability",false,false,94,,"This is where you'll find the Daily Accountability Challenge - something that gets you to focus in on your writing and interacting with other hedgies!","2021-05-04T15:34:56.000Z","{""id"":""C020EBX5771"",""created"":1620142496,""creator"":""U01NYR15VE0"",""is_org_shared"":false,""is_im"":false,""context_team_id"":""T01NPHKSMA9"",""updated"":1744395942778,""name"":""daily-accountability"",""name_normalized"":""daily-accountability"",""is_channel"":true,""is_group"":false,""is_mpim"":false,""is_private"":false,""is_archived"":false,""is_general"":false,""is_shared"":false,""is_ext_shared"":false,""unlinked"":0,""is_pending_ext_shared"":false,""pending_shared"":[],""parent_conversation"":null,""purpose"":{""value"":""This is where you'll find the Daily Accountability Challenge - something that gets you to focus in on your writing and interacting with other hedgies!"",""creator"":""U01NYR15VE0"",""last_set"":1626196869},""topic"":{""value"":"""",""creator"":"""",""last_set"":0},""shared_team_ids"":[""T01NPHKSMA9""],""pending_connected_team_ids"":[],""is_member"":true,""num_members"":94,""properties"":{""canvas"":{""file_id"":""F07GD6DKUQ1"",""quip_thread_id"":""fLE9AAneOLh"",""is_migrated"":true},""meeting_notes"":{""file_id"":""F07GD6DKUQ1""},""tabs"":[{""id"":""Ct08MMP7031U"",""type"":""canvas"",""data"":{""file_id"":""F07GD6DKUQ1"",""shared_ts"":""1744395941.659599""},""label"":""""},{""type"":""files"",""label"":"""",""id"":""files""},{""type"":""bookmarks"",""label"":"""",""id"":""bookmarks""},{""label"":""Canvas"",""type"":""channel_canvas"",""is_disabled"":true,""id"":""channel_canvas""}],""tabz"":[{""id"":""Ct08MMP7031U"",""type"":""canvas"",""data"":{""file_id"":""F07GD6DKUQ1"",""shared_ts"":""1744395941.659599""}},{""type"":""files""},{""type"":""bookmarks""},{""label"":""Canvas"",""type"":""channel_canvas"",""is_disabled"":true}]},""previous_names"":[]}"
"C02AU7LGR1A","reading-recommendations",false,false,94,"Reading recommendations that you can't help but keep in and want to share with the world!","A place for you to drop your MUST READS. Make sure you'd DEFINITELY give this book 5 stars and a glowing review. Please do not use this space as promotional space for yourself. Thank you!","2021-08-09T18:22:10.000Z","{""id"":""C02AU7LGR1A"",""created"":1628533330,""creator"":""U01NYR15VE0"",""is_org_shared"":false,""is_im"":false,""context_team_id"":""T01NPHKSMA9"",""updated"":1758631923525,""name"":""reading-recommendations"",""name_normalized"":""reading-recommendations"",""is_channel"":true,""is_group"":false,""is_mpim"":false,""is_private"":false,""is_archived"":false,""is_general"":false,""is_shared"":false,""is_ext_shared"":false,""unlinked"":0,""is_pending_ext_shared"":false,""pending_shared"":[],""parent_conversation"":null,""purpose"":{""value"":""A place for you to drop your MUST READS. Make sure you'd DEFINITELY give this book 5 stars and a glowing review. Please do not use this space as promotional space for yourself. Thank you!"",""creator"":""U01NYR15VE0"",""last_set"":1628533959},""topic"":{""value"":""Reading recommendations that you can't help but keep in and want to share with the world!"",""creator"":""U01NYR15VE0"",""last_set"":1628533977},""shared_team_ids"":[""T01NPHKSMA9""],""pending_connected_team_ids"":[],""is_member"":true,""num_members"":94,""properties"":{""tabs"":[{""type"":""files"",""label"":"""",""id"":""files""},{""id"":""Ct07KH6N295W"",""type"":""folder"",""label"":""""},{""type"":""bookmarks"",""label"":"""",""id"":""bookmarks""},{""id"":""Ct09GNE8TY8N"",""type"":""canvas"",""data"":{""file_id"":""F09GNE8PH2A"",""shared_ts"":""1758631923.390559""},""label"":""""}],""tabz"":[{""type"":""files""},{""id"":""Ct07KH6N295W"",""type"":""folder""},{""type"":""bookmarks""},{""id"":""Ct09GNE8TY8N"",""type"":""canvas"",""data"":{""file_id"":""F09GNE8PH2A"",""shared_ts"":""1758631923.390559""}}]},""previous_names"":[]}"
"C02B1SC0YL9","start-here",false,false,94,"New to Quill &amp; Cup!? Start here! Introduce yourself, drop your IG handle, and tell us about what you're writing. Can't wait to learn more about you!","New to Quill &amp; Cup? Start here!","2021-08-10T01:23:28.000Z","{""id"":""C02B1SC0YL9"",""created"":1628558608,""creator"":""U01NYR15VE0"",""is_org_shared"":false,""is_im"":false,""context_team_id"":""T01NPHKSMA9"",""updated"":1767408061450,""name"":""start-here"",""name_normalized"":""start-here"",""is_channel"":true,""is_group"":false,""is_mpim"":false,""is_private"":false,""is_archived"":false,""is_general"":false,""is_shared"":false,""is_ext_shared"":false,""unlinked"":0,""is_pending_ext_shared"":false,""pending_shared"":[],""parent_conversation"":null,""purpose"":{""value"":""New to Quill &amp; Cup? Start here!"",""creator"":""U01NYR15VE0"",""last_set"":1628558609},""topic"":{""value"":""New to Quill &amp; Cup!? Start here! Introduce yourself, drop your IG handle, and tell us about what you're writing. Can't wait to learn more about you!"",""creator"":""U06P04D237W"",""last_set"":1710715722},""shared_team_ids"":[""T01NPHKSMA9""],""pending_connected_team_ids"":[],""is_member"":true,""num_members"":94,""properties"":{""canvas"":{""file_id"":""F06CTD13R3M"",""is_empty"":false,""quip_thread_id"":""SWQ9AAPBsfD"",""is_migrated"":true},""meeting_notes"":{""file_id"":""F06CTD13R3M""},""tabs"":[{""id"":""Ct08PCJFK4A2"",""label"":""Canvas"",""type"":""canvas"",""data"":{""file_id"":""F06CTD13R3M"",""shared_ts"":""1745528013.733469""}},{""type"":""files"",""label"":"""",""id"":""files""},{""id"":""Ct07JMPR0JNA"",""type"":""folder"",""label"":""""},{""type"":""bookmarks"",""label"":"""",""id"":""bookmarks""},{""label"":""Canvas"",""type"":""channel_canvas"",""is_disabled"":true,""id"":""channel_canvas""}],""tabz"":[{""id"":""Ct08PCJFK4A2"",""label"":""Canvas"",""type"":""canvas"",""data"":{""file_id"":""F06CTD13R3M"",""shared_ts"":""1745528013.733469""}},{""type"":""files""},{""id"":""Ct07JMPR0JNA"",""type"":""folder""},{""type"":""bookmarks""},{""label"":""Canvas"",""type"":""channel_canvas"",""is_disabled"":true}]},""previous_names"":[]}"
"C02L0FEFVGQ","hedgiehype",false,false,95,,"Share your wins with the sisterhood! Any big &amp; little step on the journey deserves to be celebrated.","2021-10-27T22:38:21.000Z","{""id"":""C02L0FEFVGQ"",""created"":1635374301,""creator"":""U01NYR15VE0"",""is_org_shared"":false,""is_im"":false,""context_team_id"":""T01NPHKSMA9"",""updated"":1747263101696,""name"":""hedgiehype"",""name_normalized"":""hedgiehype"",""is_channel"":true,""is_group"":false,""is_mpim"":false,""is_private"":false,""is_archived"":false,""is_general"":false,""is_shared"":false,""is_ext_shared"":false,""unlinked"":0,""is_pending_ext_shared"":false,""pending_shared"":[],""parent_conversation"":null,""purpose"":{""value"":""Share your wins with the sisterhood! Any big &amp; little step on the journey deserves to be celebrated."",""creator"":""U01NYR15VE0"",""last_set"":1635374302},""topic"":{""value"":"""",""creator"":"""",""last_set"":0},""shared_team_ids"":[""T01NPHKSMA9""],""pending_connected_team_ids"":[],""is_member"":true,""num_members"":95,""properties"":{""canvas"":{""file_id"":""F06V84HK7A5"",""is_empty"":true,""quip_thread_id"":""bSW9AAZUvcZ"",""is_migrated"":true},""meeting_notes"":{""file_id"":""F06V84HK7A5""},""tabs"":[{""type"":""files"",""label"":"""",""id"":""files""},{""type"":""bookmarks"",""label"":"""",""id"":""bookmarks""},{""label"":""Canvas"",""type"":""channel_canvas"",""is_disabled"":true,""id"":""channel_canvas""}],""tabz"":[{""type"":""files""},{""type"":""bookmarks""},{""label"":""Canvas"",""type"":""channel_canvas"",""is_disabled"":true}]},""previous_names"":[]}"
